Title,Company,Salary,ContractType,Category,CloseDate,Location,OpenDate
Nursing Home Manager  Thames Ditton,Liquid Personnel Ltd,33000.0,non-specified,Healthcare & Nursing Jobs,2013-02-22 15:00:00,Thames Ditton,2012-12-24 15:00:00
Deputy Manager  Nursing Home  RGN  Shrewsbury,Liquid Personnel Ltd,30999.96,non-specified,Healthcare & Nursing Jobs,2012-11-14 15:00:00,Shrewsbury,2012-10-15 15:00:00
Deputy Manager  Nursing Home (RGN)  London,Liquid Personnel Ltd,36000.0,non-specified,Healthcare & Nursing Jobs,2012-12-08 00:00:00,London,2012-11-08 00:00:00
Deputy Manager (RGN)  Nursing Home  Bristol,Liquid Personnel Ltd,33500.04,non-specified,Healthcare & Nursing Jobs,2013-01-13 15:00:00,Bristol,2012-11-14 15:00:00
RGN or RMN  Wigan,Eden Brown,26880.0,non-specified,Healthcare & Nursing Jobs,2013-01-24 15:00:00,Wigan,2012-11-25 15:00:00
Staff Nurse in Elderly (RGN)  Bromley,Aaron Millar Recruitment,24000.0,non-specified,Healthcare & Nursing Jobs,2012-02-01 12:00:00,Bromley,2012-01-02 12:00:00
Practice Nurses Band 5  Northallerton,Hays Healthcare,34560.0,non-specified,Healthcare & Nursing Jobs,2012-07-21 00:00:00,Northallerton,2012-04-22 00:00:00
RGN or RMN  Liverpool,Eden Brown,23961.0,non-specified,Healthcare & Nursing Jobs,2013-04-06 00:00:00,Liverpool,2013-03-07 00:00:00
**** Clinical Nurse Advisors  York  York,Hays Healthcare,23000.04,non-specified,Healthcare & Nursing Jobs,2013-06-26 00:00:00,York,2013-03-28 00:00:00
Scrub Nurse  Maidstone,Compass Associates Ltd,30000.0,non-specified,Healthcare & Nursing Jobs,2013-05-03 15:00:00,Maidstone,2013-02-02 15:00:00
Clinical Nurse Advisor  Bedford  Bedford,Hays Healthcare,23000.04,non-specified,Healthcare & Nursing Jobs,2012-05-01 00:00:00,Bedford,2012-04-01 00:00:00
Full Or Part Time Outreach Support  Taunton,BS Social Care,13194.96,non-specified,Healthcare & Nursing Jobs,2013-05-07 00:00:00,Taunton,2013-04-07 00:00:00
Registered General Nurse  Hertford,TXM Healthcare,25500.0,non-specified,Healthcare & Nursing Jobs,2012-10-15 15:00:00,Hertford,2012-08-16 15:00:00
Deputy Home Manager (RGN)  Buckingham,Caritas Recruitment,32499.96,non-specified,Healthcare & Nursing Jobs,2012-05-29 15:00:00,Buckingham,2012-03-30 15:00:00
Deputy Home Manager  RGN  Cambridge,Caritas Recruitment,32499.96,non-specified,Healthcare & Nursing Jobs,2012-10-16 12:00:00,Cambridge,2012-07-18 12:00:00
Nurse  RMN / RGN  Wiltshire  Salisbury,Populus Healthcare,27500.04,non-specified,Healthcare & Nursing Jobs,2012-11-08 15:00:00,Salisbury,2012-10-09 15:00:00
Registered General Nurse London  London,MedicsPro,48000.0,non-specified,Healthcare & Nursing Jobs,2013-10-25 00:00:00,London,2013-09-25 00:00:00
RMN's & RNLD's  Croydon,Glen Care Group,24800.04,non-specified,Healthcare & Nursing Jobs,2012-07-09 15:00:00,Croydon,2012-06-09 15:00:00
Night Support Worker  Worthing,BS Social Care,7440.0,non-specified,Healthcare & Nursing Jobs,2013-12-03 15:00:00,Worthing,2013-11-03 15:00:00
Substance Misuse Nurse  StokeonTrent,Morgan Hunt,23499.96,non-specified,Healthcare & Nursing Jobs,2012-06-04 15:00:00,Stoke-On-Trent,2012-03-06 15:00:00
Care Home Manager  Nurse  Stockport,Four Seasons Health Care,20000.04,non-specified,Healthcare & Nursing Jobs,2012-11-28 15:00:00,Stockport,2012-08-30 15:00:00
Unit Lead  Salford,White Recruitment Limited,24999.96,non-specified,Healthcare & Nursing Jobs,2012-11-22 12:00:00,Salford,2012-08-24 12:00:00
Heath care Assistant  Immediate Start  Liverpool,D.R.C. Locums Limited,14400.0,non-specified,Healthcare & Nursing Jobs,2012-11-27 00:00:00,Liverpool,2012-09-28 00:00:00
Nutritional Nurse Advisor  Bedford,Equal Approach,25250.04,non-specified,Healthcare & Nursing Jobs,2012-05-19 12:00:00,Bedford,2012-04-19 12:00:00
RGN  Glasgow,BS Social Care,24099.96,non-specified,Healthcare & Nursing Jobs,2012-06-28 12:00:00,Glasgow,2012-03-30 12:00:00
Deputy Manager  Redhill,BS Social Care,23499.96,non-specified,Healthcare & Nursing Jobs,2013-09-15 12:00:00,Redhill,2013-07-17 12:00:00
Staff Nurse x**** RGN/RMN Cambridgeshire ******** p/h  Cambridge,SYK Recruitment,24000.0,non-specified,Healthcare & Nursing Jobs,2013-01-26 15:00:00,Cambridge,2012-11-27 15:00:00
Staff Nurse x**** RGN Surrey **** per hour  Guildford,SYK Recruitment,23040.0,non-specified,Healthcare & Nursing Jobs,2013-05-04 00:00:00,Guildford,2013-03-05 00:00:00
Staff Nurse RGN Buckinghamshire **** per hour  Buckingham,SYK Recruitment,12000.0,non-specified,Healthcare & Nursing Jobs,2013-12-05 00:00:00,Buckingham,2013-10-06 00:00:00
Endoscopy Nurse RGN London ****k per annum  London,SYK Recruitment,33039.96,non-specified,Healthcare & Nursing Jobs,2012-06-23 00:00:00,London,2012-04-24 00:00:00
Staff Nurse RGN Ware ******** per hour Nights  Hertford,SYK Recruitment,24000.0,non-specified,Healthcare & Nursing Jobs,2012-03-13 00:00:00,Hertford,2012-02-12 00:00:00
Peripatetic Home Manager South East ****k  ****k Elderly  Guildford,SYK Recruitment,57500.04,non-specified,Healthcare & Nursing Jobs,2013-12-22 12:00:00,Guildford,2013-09-23 12:00:00
Staff Nurse RGN Abingdon ******** per hour  Abingdon,SYK Recruitment,24960.0,non-specified,Healthcare & Nursing Jobs,2013-01-24 12:00:00,Abingdon,2012-12-25 12:00:00
Discharge Nurse  Northampton,Team 24 Ltd,35307.96,non-specified,Healthcare & Nursing Jobs,2012-06-01 00:00:00,Northampton,2012-05-02 00:00:00
Registered General Nurse  Chesterfield,White Recruitment Limited,12000.0,non-specified,Healthcare & Nursing Jobs,2013-12-29 12:00:00,Chesterfield,2013-09-30 12:00:00
Hippotherapist  Lewes,BS Social Care,17160.0,non-specified,Healthcare & Nursing Jobs,2013-08-22 15:00:00,Lewes,2013-07-23 15:00:00
Senior Support Worker  Knaresborough,Randstad Care,17250.0,non-specified,Healthcare & Nursing Jobs,2013-04-13 15:00:00,Knaresborough,2013-03-14 15:00:00
Registered general nurse  Dartford,Hays Healthcare,41280.0,non-specified,Healthcare & Nursing Jobs,2012-11-12 12:00:00,Dartford,2012-10-13 12:00:00
Clinical Nurse Manager ( Band 6)  Kettering,Team 24 Ltd,29858.04,non-specified,Healthcare & Nursing Jobs,2013-09-07 15:00:00,Kettering,2013-08-08 15:00:00
Residential Care Home Manager Older People  Sheffield,Randstad Care,28500.0,non-specified,Healthcare & Nursing Jobs,2013-12-22 12:00:00,Sheffield,2013-09-23 12:00:00
Branch Manager  Manchester  1301573  Manchester,Prospect Health,32499.96,non-specified,Healthcare & Nursing Jobs,2012-11-15 00:00:00,Manchester,2012-08-17 00:00:00
Nursing Home Manager preferably RGN / RMN  Doncaster,Randstad Care,42000.0,non-specified,Healthcare & Nursing Jobs,2012-04-15 12:00:00,Doncaster,2012-02-15 12:00:00
RMN  Chichester,Team 24 Ltd,24999.96,non-specified,Healthcare & Nursing Jobs,2012-10-30 15:00:00,Chichester,2012-08-31 15:00:00
RGN Deputy Manager Clinical Lead  Leeds,Randstad Care,31500.0,non-specified,Healthcare & Nursing Jobs,2012-06-16 15:00:00,Leeds,2012-03-18 15:00:00
Senior Engineer of Entrance Systems,non-specified,54999.96,Permanent,Engineering Jobs,2013-09-08 15:00:00,Derbyshire,2013-08-09 15:00:00
Mechanical Design Draftsman,non-specified,27500.04,Permanent,Engineering Jobs,2013-08-31 00:00:00,Greater Manchester,2013-07-02 00:00:00
ASPnet C Snr Developer,non-specified,44000.04,Permanent,IT Jobs,2012-05-26 00:00:00,Hampshire,2012-02-26 00:00:00
Procurement Subcontracts Manager,non-specified,57500.04,Permanent,Engineering Jobs,2013-12-28 12:00:00,Hampshire,2013-09-29 12:00:00
Business Development Coordinator  Sussex,non-specified,23000.04,Permanent,Teaching Jobs,2012-07-29 12:00:00,West Sussex,2012-04-30 12:00:00
Business Admin Programme Coordinator  Birmingham,non-specified,23649.96,Permanent,Teaching Jobs,2012-10-15 15:00:00,West Midlands,2012-07-17 15:00:00
Senior PETCT Technologist  North,non-specified,30000.0,Permanent,Healthcare & Nursing Jobs,2012-10-10 00:00:00,North East England,2012-07-12 00:00:00
IT Infrastructure and Desktop Support,non-specified,38880.0,Fixed Term Contract,IT Jobs,2013-05-20 12:00:00,Berkshire,2013-05-06 12:00:00
Senior Actuarial Analyst/Actuary,Abenefit2u,65000.04,Permanent,IT Jobs,2013-01-05 12:00:00,London,2012-11-06 12:00:00
DB Pensions Administrator  611 Month Contracts,Sammons Pensions,14000.04,Fixed Term Contract,IT Jobs,2014-01-05 00:00:00,Surrey,2013-11-06 00:00:00
Senior Pensions Payroll Administrator,Sammons Pensions,11499.96,Permanent,IT Jobs,2012-04-07 12:00:00,Kent,2012-01-08 12:00:00
Interim Pensions Data Services Manager (Contract),Branwell Ford Associates,22500.0,Permanent,IT Jobs,2013-06-28 12:00:00,Surrey,2013-03-30 12:00:00
Group Risk Assistant Consultant,Alexander Lloyd,30000.0,Permanent,IT Jobs,2012-10-24 15:00:00,Epsom,2012-09-24 15:00:00
"Senior Data Specialist: Sovereign Research and Ratings to **** , ****",JHA Recruitment Consultancy,37500.0,Permanent,IT Jobs,2013-09-04 12:00:00,London,2013-07-06 12:00:00
Project Managers  Insurance,Marks Sattin  Ltd,72500.04,Permanent,"PR, Advertising & Marketing Jobs",2012-08-10 12:00:00,London,2012-05-12 12:00:00
Fund Data Manager  Marketing,Austin Benn,67500.0,Permanent,"PR, Advertising & Marketing Jobs",2013-02-16 12:00:00,South East London,2013-01-17 12:00:00
Origination  Syndication Loan Sales,Prime Personnel Services Ltd,65000.04,Permanent,Sales Jobs,2013-09-20 12:00:00,The City,2013-08-21 12:00:00
"Senior Manager, Operational Risk (612 month contract)",C.K.R. Recruitment Limited,56000.04,Fixed Term Contract,IT Jobs,2012-04-16 15:00:00,The City,2012-03-17 15:00:00
IT Sourcing Manager (Hardware),Reed Purchasing,47499.96,Permanent,IT Jobs,2014-03-07 12:00:00,The City,2013-12-07 12:00:00
Hedge Fund Trade Support and NAV,Twenty Recruitment Ltd,45000.0,Permanent,IT Jobs,2013-10-04 12:00:00,London,2013-09-04 12:00:00
Shipping Aviation Portfolio Manager,Prime Personnel Services Ltd,53760.0,Fixed Term Contract,IT Jobs,2013-11-08 12:00:00,London,2013-10-09 12:00:00
Credit Analyst  Oil Trading,Insight Professional Solutions Ltd,39999.96,Permanent,IT Jobs,2012-09-09 15:00:00,London,2012-06-11 15:00:00
Equities Fixed Income Trade Support,Prime Personnel Services Ltd,38000.04,Permanent,IT Jobs,2012-11-10 15:00:00,The City,2012-09-11 15:00:00
Technology Sales Executive  Superb Opportunity,The Oakland Partnership Limited,42999.96,Permanent,IT Jobs,2012-02-10 15:00:00,South West London,2012-01-11 15:00:00
Assistant Accountant  Financial Services,The Oakland Partnership Limited,26499.96,Permanent,Accounting & Finance Jobs,2012-07-09 12:00:00,South West London,2012-04-10 12:00:00
End User Computing Manager,Request Technology Robyn Honquest,82500.0,Permanent,IT Jobs,2013-02-03 00:00:00,UK,2012-12-05 00:00:00
VM Windows Engineer,Request Technology Craig Johnson,87500.04,Permanent,IT Jobs,2014-01-29 12:00:00,UK,2013-11-30 12:00:00
Perl Scripter/Software Developer,Request Technology Stephanie Baker,82500.0,Permanent,IT Jobs,2013-06-10 00:00:00,UK,2013-04-11 00:00:00
EMEA Financial Accountant,UKStaffsearch,36000.0,Permanent,Accounting & Finance Jobs,2013-09-20 12:00:00,Bracknell,2013-08-21 12:00:00
Children's Nurse (RSCN/RGN/RNLD),UKStaffsearch,27000.0,Permanent,Healthcare & Nursing Jobs,2013-08-15 15:00:00,Barking,2013-06-16 15:00:00
Science Teacher  UK independent school,UKStaffsearch,29499.96,Permanent,Teaching Jobs,2012-04-13 15:00:00,Richmond,2012-03-14 15:00:00
Outsource Manager,UKStaffsearch,39999.96,Permanent,IT Jobs,2013-03-27 15:00:00,Warwick,2012-12-27 15:00:00
Lead UI Artist,UKStaffsearch,27500.04,Permanent,IT Jobs,2013-10-03 12:00:00,Warwick,2013-09-03 12:00:00
Nurse  Sexual Health and Family Planning,UKStaffsearch,30000.0,Permanent,Healthcare & Nursing Jobs,2012-09-11 15:00:00,Maidstone,2012-08-12 15:00:00
Sales / Customer Service  IMMEDIATE START  Manchester,UKStaffsearch,18200.04,Permanent,Sales Jobs,2013-06-29 00:00:00,Manchester,2013-04-30 00:00:00
Research Engineer / Modeller,UKStaffsearch,35000.04,Permanent,Engineering Jobs,2012-07-21 15:00:00,Winchester,2012-05-22 15:00:00
Michelin level Chef de Partie and Sous,Juice Hospitality,21500.04,Permanent,Hospitality & Catering Jobs,2012-09-20 00:00:00,Milton Keynes,2012-08-21 00:00:00
Urgent Freelance role  Assistant Marketing Manager  Retail,UKStaffsearch,43560.0,Fixed Term Contract,"PR, Advertising & Marketing Jobs",2012-05-22 12:00:00,The City,2012-04-22 12:00:00
Registered General Nurse required in West Midlands,UKStaffsearch,39072.0,Permanent,Healthcare & Nursing Jobs,2013-03-19 12:00:00,West Bromwich,2013-02-17 12:00:00
Research Support Officer,UKStaffsearch,35904.0,Permanent,Healthcare & Nursing Jobs,2013-07-08 12:00:00,Coventry,2013-06-08 12:00:00
2nd  3rd Line IT Support / Network Manager,UKStaffsearch,26000.04,Permanent,IT Jobs,2014-03-17 15:00:00,Hull,2013-12-17 15:00:00
Join a team with training and promotion opportunities?NNurse & Deputy,UKStaffsearch,15750.0,Permanent,Healthcare & Nursing Jobs,2013-10-16 12:00:00,Bracknell,2013-07-18 12:00:00
Field Sales Person,UKStaffsearch,17499.96,Permanent,Sales Jobs,2014-03-29 00:00:00,Leeds,2013-12-29 00:00:00
Management Accountant/Senior Analyst,UKStaffsearch,56100.0,Permanent,Accounting & Finance Jobs,2013-06-09 15:00:00,Grantham,2013-03-11 15:00:00
New Business Executive (Graduate),UKStaffsearch,17000.04,Permanent,Sales Jobs,2012-09-24 12:00:00,Rugby,2012-06-26 12:00:00
Newly Qualified Social Workers,UKStaffsearch,29292.96,Permanent,Healthcare & Nursing Jobs,2012-03-17 12:00:00,Manchester,2012-01-17 12:00:00
Staff Nurse x**** RGN/RMN Droitwich **** ph,UKStaffsearch,26579.04,Permanent,Healthcare & Nursing Jobs,2012-12-02 00:00:00,Droitwich,2012-09-03 00:00:00
IT Sales Accounts Executive Leeds ****kUncapped O,UKStaffsearch,24000.0,Permanent,Sales Jobs,2013-03-16 00:00:00,Leeds,2012-12-16 00:00:00
Back End Developer/Python Cambridge ****k,UKStaffsearch,32499.96,Permanent,IT Jobs,2013-02-05 12:00:00,Cambridge,2013-01-06 12:00:00
RADAR Analyst,UKStaffsearch,44999.04,Permanent,Engineering Jobs,2012-06-05 15:00:00,Hemel Hempstead,2012-03-07 15:00:00
Senior Business Auditor  Leisure,Experis Finance,47499.96,Permanent,IT Jobs,2012-10-21 12:00:00,Hertfordshire,2012-07-23 12:00:00
Russianspeaking Business Development Executive,Euro London Appointments,18999.96,Permanent,Sales Jobs,2014-01-06 15:00:00,UK,2013-12-07 15:00:00
Commodity and Structured Trade Finance with fluency in Japanese,Euro London Appointments,9999.96,Permanent,IT Jobs,2014-02-27 15:00:00,The City,2013-12-29 15:00:00
Multiligual Finance Team Leader/ Manager,Sigmar Recruitment,34500.0,Permanent,Accounting & Finance Jobs,2012-04-24 12:00:00,UK,2012-02-24 12:00:00
Data Marketing Executive  Private Bank,Carter Murray London,35000.04,non-specified,"PR, Advertising & Marketing Jobs",2012-12-27 15:00:00,London,2012-10-28 15:00:00
"Equities Developer, Regulatory/Compliance",The JM Group,95000.04,non-specified,IT Jobs,2012-04-25 00:00:00,London,2012-04-11 00:00:00
ASSISTANT COMMERCIAL UNDERWRITER  PROGRESS FROM BROKING dscj****,Clark James Insurance And Financial Services Recruitment,21999.96,Permanent,IT Jobs,2013-07-26 12:00:00,UK,2013-04-27 12:00:00
MOTOR CLAIMS TEAM LEADER / MANAGER DSCJ****,Clark James Insurance And Financial Services Recruitment,24999.96,Permanent,IT Jobs,2013-09-14 15:00:00,UK,2013-06-16 15:00:00
TECHNICAL TRAINER  MOTOR CLAIMS DSCJ****,Clark James Insurance And Financial Services Recruitment,36000.0,Permanent,IT Jobs,2012-07-24 00:00:00,London,2012-06-24 00:00:00
Product Counsel  French,IPS,65000.04,Permanent,"PR, Advertising & Marketing Jobs",2013-05-14 15:00:00,The City,2013-03-15 15:00:00
Commercial New Business Developer(s),MW Appointments,33000.0,Permanent,IT Jobs,2013-06-18 00:00:00,Kent,2013-05-19 00:00:00
Personal Lines Sales Executive,MW Appointments,18999.96,Permanent,Sales Jobs,2013-07-14 12:00:00,Bracknell,2013-06-14 12:00:00
Insurance Project Manager/ Business Developer,MW Appointments,25500.0,Permanent,IT Jobs,2013-10-12 12:00:00,Bracknell,2013-09-12 12:00:00
Senior Insurance Expense Analyst,IPS,69999.96,Permanent,IT Jobs,2013-09-10 00:00:00,The City,2013-07-12 00:00:00
Tax Payroll Accountant,Harrison Holgate,54500.04,Permanent,Accounting & Finance Jobs,2014-02-11 00:00:00,The City,2013-11-13 00:00:00
Techncial Property Claims Handler,IPS,18500.04,Permanent,"PR, Advertising & Marketing Jobs",2013-02-12 12:00:00,Birmingham,2012-12-14 12:00:00
PERSONAL LINES PRODUCT MANAGER dscj****,Clark James Insurance And Financial Services Recruitment,38499.96,Permanent,"PR, Advertising & Marketing Jobs",2012-06-16 15:00:00,Camberley,2012-05-17 15:00:00
INSURANCE PROJECT MANAGER dscj****,Clark James Insurance And Financial Services Recruitment,45000.0,Permanent,"PR, Advertising & Marketing Jobs",2013-02-04 15:00:00,Camberley,2013-01-05 15:00:00
COMMERCIAL INSURANCE BROKER  SOUTH LONDON DSCJ****,Clark James Insurance And Financial Services Recruitment,30500.04,Permanent,IT Jobs,2012-09-03 12:00:00,South East London,2012-08-04 12:00:00
Commercial Account Executive  Midlands,Idex Consulting LLP,30000.0,Permanent,IT Jobs,2014-02-17 15:00:00,West Midlands,2013-11-19 15:00:00
UNDERWRITING REPORTS TECHNICIAN  SURREY dscj****,Clark James Insurance And Financial Services Recruitment,27000.0,Permanent,IT Jobs,2013-05-10 15:00:00,Reigate,2013-04-10 15:00:00
Regional Commercial Development Underwriter  South East,E Resources Ltd,37500.0,Permanent,IT Jobs,2013-08-15 12:00:00,UK,2013-06-16 12:00:00
Personal Lines Broker/Account Handler  Chesterfield,E Resources Ltd,17499.96,Permanent,IT Jobs,2013-05-24 15:00:00,Chesterfield,2013-02-23 15:00:00
COMMERCIAL ACCOUNT HANDLER / BROKER  KENT DSCJ****,Clark James Insurance And Financial Services Recruitment,25500.0,Permanent,IT Jobs,2013-06-22 15:00:00,UK,2013-05-23 15:00:00
PERSONAL LINES BROKERS AND SALES ADVISORS REQUIRED KENT DSCJ****,Clark James Insurance And Financial Services Recruitment,19500.0,Permanent,Sales Jobs,2012-05-22 15:00:00,UK,2012-02-22 15:00:00
Commercial Account Executive  Ipswich,E Resources Ltd,23499.96,Permanent,IT Jobs,2013-03-01 15:00:00,UK,2012-12-31 15:00:00
Insurance Trainer,Heat Recruitment,30000.0,Permanent,IT Jobs,2013-07-31 12:00:00,UK,2013-06-01 12:00:00
Motor Fleet Underwriter,Barker Munro Recruitment Ltd,28500.0,Permanent,IT Jobs,2012-02-06 15:00:00,Kent,2012-01-07 15:00:00
Licensee Auditor,Hays,42500.04,Permanent,IT Jobs,2012-03-18 15:00:00,Berkshire,2012-01-18 15:00:00
Finance Reporting Analyst,Cedar,59000.04,Permanent,Accounting & Finance Jobs,2012-10-13 12:00:00,London,2012-07-15 12:00:00
Senior Internal Auditor (Manager Grade),CGS Search and Selection,75000.0,Permanent,IT Jobs,2012-05-29 15:00:00,London,2012-02-29 15:00:00
